bc1	bc2	count
0	0	6
0	1	252313
0	2	81495
0	3	2
0	6	9794
0	16	75
0	17	2
0	32	86
0	34	567
0	35	68
0	39	6
0	41	67
0	43	68
0	44	68
0	64	63891
0	65	35090
0	66	60089
0	67	40
0	68	1496
0	69	14
0	70	18583
0	71	106727
0	72	87357
0	76	82
0	79	4
0	80	10541
0	81	77527
0	83	1749
0	97	136677
0	98	59
0	100	7
0	114	131373
0	115	4254
0	117	7462
0	128	11884
0	129	6442
0	130	219
0	132	9795
0	137	21
0	144	9766
0	145	6
0	146	1
0	161	3120
0	194	1
0	208	156
0	209	21
0	234	586
0	249	76
1	0	9863
1	1	11
1	2	35661
1	3	226891
1	16	2
1	32	45
1	64	269632
1	65	199989
1	66	81848
1	67	72659
1	69	9565
1	76	38497
1	79	16823
1	80	193
1	81	266917
1	83	126048
1	92	16213
1	96	2041
1	97	12297
1	98	416
1	99	47439
1	112	37
1	114	345348
1	118	2479
1	128	128922
1	129	3
1	131	77755
1	132	77745
1	133	77755
1	144	23837
1	145	10938
1	146	9759
1	161	7115
1	192	9757
1	193	73
1	208	1083
1	209	18
1	225	2
1	234	766
1	239	9796
1	245	2933
1	251	2
2	0	81070
2	1	36686
2	3	2
2	32	171
2	36	8
2	38	2
2	64	110203
2	65	6
2	66	4
2	76	16794
2	79	10595
2	80	20915
2	81	97113
2	83	79197
2	96	203
2	99	2041
2	101	33097
2	104	47411
2	109	47452
2	115	10
2	117	13
2	118	68799
2	128	12
2	132	73
2	144	9756
2	146	2
2	160	2577
2	161	18
2	193	1697
2	209	2876
2	210	1
2	211	57
2	212	2
2	249	83
3	2	9753
3	4	38
3	7	9715
3	16	2
3	32	34
3	64	7
3	65	1
3	76	1
3	80	26
3	81	6
3	83	100959
3	92	784
3	97	1
3	98	400
3	99	46
3	100	8
3	101	226855
3	102	4
3	128	73
3	129	1
3	130	9722
3	134	4
3	136	38
3	161	9
3	164	6
3	194	1
3	249	5
4	2	201
4	4	200
4	5	2
4	64	1
4	65	1
4	79	9756
4	80	2
4	83	367
4	97	199
4	122	367
4	128	3
4	129	9756
4	131	366
4	132	367
4	133	9832
4	134	9827
4	135	38
4	146	38
4	160	9796
4	231	1
5	6	2
5	64	1
5	66	19439
5	79	2899
5	81	199
5	83	29298
5	114	19432
5	128	2
5	129	416
5	130	1
5	144	599
5	145	200
5	249	1
6	4	9793
6	83	158468
6	97	73
6	98	73
6	128	2
6	132	9757
6	193	1
6	234	2
7	0	9750
7	80	9
7	81	20
7	83	9793
7	92	12
7	128	6
7	129	9751
7	146	9718
7	243	49
8	83	9796
8	148	85
8	210	85
8	239	2
9	76	292
9	83	77
9	128	9829
9	131	9756
10	83	75
11	83	79
11	92	73
11	145	2
12	83	3382
12	92	48
12	128	1
13	83	3684
13	92	3684
16	0	14
16	1	2919
16	3	7
16	4	2
16	17	1083
16	33	9766
16	34	1
16	35	1
16	37	1
16	39	1
16	41	1
16	42	1
16	64	121741
16	65	272
16	68	19430
16	76	101950
16	80	1
16	81	1
16	83	139046
16	92	64765
16	97	144
16	101	1
16	102	876
16	104	6
16	106	1
16	109	1
16	110	72
16	114	19435
16	118	7575
16	124	30084
16	129	135637
16	130	38866
16	131	3308
16	145	5257
16	161	863
16	249	19588
17	0	7
17	1	4
17	18	1
17	20	1
17	23	1
17	34	11
17	37	1
17	64	5800
17	65	47476
17	66	20858
17	72	3
